Type,F1,F2,F3,F4
t,0.32277157,0.074769453,0.397541023,0.265027349
m,0.006091613,0.066270472,0.072362085,0.04824139
t,0.157990148,0.112272789,0.270262937,0.180175291
m,0.157595222,0.050771284,0.208366506,0.138911004
t,0.395838279,0.10750376,0.503342039,0.335561359
m,0.179263036,0.044388764,0.2236518,0.1491012
m,0.247675171,0.061111833,0.308787004,0.205858003
t,-0.051027408,0.031959884,-0.019067524,-0.012711683
t,0.299023907,0.084912625,0.383936532,0.255957688
t,0.072123205,0.034288298,0.106411503,0.070941002
t,0.107197679,0.057575569,0.164773248,0.109848832
m,0.357792119,0.185462578,0.543254697,0.362169798
m,0.147103501,0.06040792,0.207511421,0.138340947
m,0.109390901,0.032086298,0.141477199,0.094318133
t,0.095602572,0.060697142,0.156299714,0.104199809
t,0.108697316,0.112025715,0.220723031,0.147148687
m,1.056754851,0.097379998,1.154134849,0.769423233
m,0.049056842,0.077891698,0.12694854,0.08463236
m,0.192109155,0.095318642,0.287427797,0.191618531
t,0.480499351,0.139190749,0.6196901,0.413126733
m,0.116036222,0.055520825,0.171557047,0.114371365
t,-0.259774711,0.016492817,-0.243281894,-0.162187929
m,0.466654634,0.046992434,0.513647068,0.342431379
t,0.113987971,0.131324083,0.245312054,0.163541369
t,0.101596892,0.053149983,0.154746875,0.103164583
t,0.097775524,0.112951798,0.210727322,0.140484881
t,0.537529946,0.129654715,0.667184661,0.444789774
t,-0.429974485,0.047540998,-0.382433487,-0.254955658
m,0.345748178,0.079881376,0.425629554,0.283753036
t,0.834744413,0.310739387,1.1454838,0.763655867
t,0.567631959,0.148197205,0.715829164,0.477219443
m,-0.019547314,0.037321006,0.017773692,0.011849128
t,0.110542681,0.028872776,0.139415457,0.092943638
m,0.457704017,0.136962954,0.594666971,0.396444647
m,0.189933805,0.085243146,0.275176951,0.183451301
t,0.077970085,0.025051865,0.10302195,0.0686813
m,0.136696653,0.020298149,0.156994802,0.104663201
m,0.119111351,0.143997534,0.263108885,0.175405923
t,0.220050262,0.283792679,0.503842941,0.335895294
m,0.057286597,0.038003472,0.095290069,0.063526713
t,0.759205735,0.331411679,1.090617414,0.727078276
m,0.541134781,0.22065015,0.761784931,0.507856621
m,0.160446713,0.084267878,0.244714591,0.163143061
m,-0.047224369,0.052476015,0.005251646,0.003501097
m,0.042090218,0.026602507,0.068692725,0.04579515
t,0.267413213,0.117955036,0.385368249,0.256912166
m,0.091814278,0.045080255,0.136894533,0.091263022
m,0.47881845,0.19512475,0.6739432,0.449295467
m,0.122752146,0.087042145,0.209794291,0.139862861
m,0.080229698,0.045132654,0.125362352,0.083574901
m,0.422779883,0.101412268,0.524192151,0.349461434
t,0.240124049,0.114073565,0.354197614,0.236131743
m,-0.05318754,0.069612549,0.016425009,0.010950006
m,0.511182677,0.159325749,0.670508426,0.447005617
t,1.02854154,0.385056836,1.413598376,0.942398917
m,0.171759663,0.079292534,0.251052197,0.167368131
m,0.196655352,0.113393446,0.310048798,0.206699199
m,0.292597269,0.027910998,0.320508267,0.213672178
t,-0.066907939,0.043831389,-0.02307655,-0.015384367
t,0.513545426,0.150120812,0.663666238,0.442444159
m,0.244530048,0.08295413,0.327484178,0.218322785
m,0.495923001,0.122216934,0.618139935,0.41209329
t,0.13772839,0.080268532,0.217996922,0.145331281
m,0.4257097,0.115899084,0.541608784,0.361072523
t,0.024409368,0.044548876,0.068958244,0.045972163
m,-0.143467543,0.11710115,-0.026366393,-0.017577595
m,0.449355481,0.105716578,0.555072059,0.370048039
m,0.241014337,0.079447955,0.320462292,0.213641528
t,0.27611746,0.082330139,0.358447599,0.238965066
m,0.421336848,0.054386847,0.475723695,0.31714913
m,0.190810262,0.036998769,0.227809031,0.151872687
t,0.14843379,0.046543108,0.194976898,0.129984599
m,0.198502016,0.100156679,0.298658695,0.199105797
m,0.187764541,0.171379072,0.359143613,0.239429075
t,0.551372072,0.197945725,0.749317797,0.499545198
t,0.356219135,0.092725942,0.448945077,0.299296718
t,0.635264656,0.251800542,0.887065198,0.591376799
m,0.282868378,0.165430569,0.448298947,0.298865965
m,0.13565873,0.118867569,0.254526299,0.169684199
t,0.093251704,0.079327951,0.172579655,0.115053103
t,0.121376628,0.061198369,0.182574997,0.121716665
t,0.29185406,0.080798168,0.372652228,0.248434819
m,0.205240303,0.049151783,0.254392086,0.169594724
m,0.573741312,0.12917166,0.702912972,0.468608648
m,0.309776207,0.050598525,0.360374732,0.240249821
t,0.259855091,0.07274394,0.332599031,0.221732687
t,0.320707023,0.082521354,0.403228377,0.268818918
m,0.300411658,0.080650515,0.381062173,0.254041449
m,0.548791802,0.093129378,0.64192118,0.427947453
m,0.970436778,0.304041836,1.274478614,0.849652409
