Name,State,F1,F2,F3,F4,F5,F6,F7,F8,F9,F10,F11,F12,F13,F14,F15,F16,F17,F18,F19,F20,F21,F22,F23,F24,F25,F26,F27,F28,F29,F30,F31,F32,F33,F34,F35,F36,F37,F38,F39,F40,F41,F42,F43,F44,F45,F46,F47,F48,F49,F50,F51,F52,F53,F54,F55,F56,F57,F58,F59,F60,F61,F62,F63,F64,F65,F66,F67,F68,F69,F70,F71,F72,F73,F74,F75,F76,F77,F78,F79,F80,F81,F82,F83,F84,F85,F86,F87,F88,F89,F90,F91,F92,F93,F94,F95,F96,F97,F98,F99,F100
NCGC00013012-01,0,2666.505309,2191.511936,3173.764444,4019.830878,3311.838458,2432.501158,1528.952706,624.869298,33.270048,4335.590549,5138.428628,7058.474201,7855.482402,6840.001284,4951.814733,2890.002559,1163.934932,195.1110057,199.171284,181.4126,293.372392,424.953408,428.938688,344.531584,221.42592,117.521928,25.6608,25.23734414,31.02667349,43.01252855,47.79480655,42.08676552,30.80672613,17.79224346,7.387011845,1.514148877,3723.184005,3213.724925,5327.714931,7977.978461,8195.968456,6778.828441,4404.771811,2374.801388,555.2862054,313.1388889,109.5,206.2222222,413.9444444,394.1111111,319.8333333,229.1666667,129.6666667,15,121.2047868,104.3577112,93.34601306,83.74647663,68.99663454,62.37182456,61.15810824,48.06686908,11.090016,197.0722977,244.6870775,207.6021824,163.6558834,142.5000267,126.9696085,115.6001023,89.53345629,65.03700189,9.053240182,8.638695238,8.628599765,8.853196,8.936222667,8.834143179,8.8570368,9.040148308,8.5536,1.147152007,1.477460643,1.265074369,0.995725136,0.876807615,0.789916055,0.711689738,0.56823168,0.504716292,169.2356366,153.0345202,156.697498,166.2078846,170.7493428,173.8161139,176.1908724,182.6770298,185.0954018,14.23358586
NCGC00013015-01,0,2668.537437,2219.746016,3226.2127,4092.470382,3390.529994,2494.049638,1592.488962,658.139346,33.270048,4397.758038,5335.178875,7484.697681,8488.05449,7502.017875,5500.733949,3344.0313,1359.045937,195.1110057,212.608212,198.0014,324.196456,492.122496,511.89824,411.301504,277.112448,143.182728,25.6608,26.12656995,32.67498579,46.88792947,53.98342707,48.58583553,36.32641525,21.84393044,8.901160722,1.514148877,4093.019309,3552.031749,5972.266851,9547.385266,10167.27229,8380.03035,5668.200145,2930.087593,555.2862054,301.1388889,112.2222222,208.1111111,414.3333333,407.2222222,325.1666667,238.8333333,144.6666667,15,111.1890599,96.51069635,84.90033421,71.797726,57.46661007,51.95936746,49.76528006,41.13370913,11.090016,183.2399182,231.9642989,196.9657284,148.9132367,127.1528453,114.5986239,104.5009781,84.94037109,65.03700189,8.8586755,8.608756522,8.531485684,8.633728,8.676241356,8.568781333,8.659764,8.9489205,8.5536,1.088607081,1.420651556,1.233892881,0.947077668,0.823488738,0.756800318,0.682622826,0.556322545,0.504716292,170.5424712,154.436163,157.1649171,167.4979871,172.326649,174.5839656,177.1312545,183.1304746,185.0954018,12.5474537
NCGC00013034-01,0,4555.349453,5392.190537,8371.123305,9114.502094,8536.023445,7964.101553,6739.094682,5699.011542,5448.888269,12779.62658,17590.70336,28629.78384,34420.45399,34256.91699,30988.52164,25913.33087,22190.33141,21207.8846,477.973268,517.398788,1012.974324,1539.15296,1739.577556,1701.633764,1487.871672,1184.166024,1059.389348,90.44707657,125.7442788,213.1921959,269.8339258,276.5657306,252.4718011,207.6238722,177.0234089,169.8742581,10510.04259,9834.883087,20414.6467,32765.53972,38018.1306,37933.76699,32830.47078,25971.7986,23126.57707,197.8125,161.1805556,297.1666667,414.1805556,456.9444444,465.2361111,455.75,347.8055556,296.1944444,70.08229928,78.14768894,61.10308982,43.40239092,35.86564473,34.03462202,33.69547341,35.61882214,37.57853979,196.6096396,254.9377299,208.9765244,163.9069237,143.936626,132.4295796,129.5666544,138.6895713,146.2612731,7.353434892,7.498533159,7.393973168,7.32929981,7.309149395,7.271939162,7.43935836,7.40103765,7.306133434,1.391493486,1.822380853,1.556147415,1.284923456,1.162040885,1.078939321,1.038119361,1.106396305,1.171546607,161.6929629,142.5345375,149.0120197,156.0263796,159.7400445,162.1101153,164.1523539,162.3237412,159.493635,3.043269231
NCGC00013037-01,0,3630.71444,3476.079488,5321.274826,5717.172985,3858.839242,3564.314998,3450.263481,2611.690666,1481.414175,7369.183831,9496.872922,15176.08323,18172.57161,15977.73023,10976.56973,8885.49063,7613.359512,5003.873355,271.326441,280.83342,540.836652,767.77164,977.876146,885.46158,371.790132,396.602414,285.779708,55.60975319,70.16516189,113.9618398,139.5282513,137.3006939,96.66574238,73.63749807,69.12447821,46.44631454,5851.234459,5287.862632,10887.04142,15616.1465,21545.65292,21435.25247,7378.642251,8377.832503,6434.756396,153.3784294,97.44675926,159.9320988,227.8472222,290.5447531,273.1388889,149.8641975,141.162037,98.43518519,100.8531789,93.94809427,73.90659481,56.05071554,29.01382889,29.2156967,71.88048919,50.2248205,37.98497885,204.6995509,256.6722411,210.7789337,178.1624667,120.13331,89.971883,185.1143881,146.4107598,128.304445,7.536845583,7.590092432,7.511620167,7.527172941,7.352452226,7.257881803,7.74562775,7.6269695,7.327684821,1.544715366,1.896355727,1.582803331,1.367924032,1.032336045,0.792342151,1.534114543,1.329316889,1.190931142,162.5342905,142.9152063,151.2089086,153.0994755,161.9973904,175.6987907,153.7217136,161.1121635,164.9937538,4.260511927
NCGC00013042-01,0,1757.653587,1915.786752,2635.351652,2627.433915,1700.110265,691.525511,83.77488,3.048192,0,4488.943277,5526.835709,7690.981638,7623.964225,5392.572717,2952.861002,873.2829235,93.25123329,0,138.447244,147.616936,223.016048,277.303812,238.564588,167.374244,92.088576,20.155392,0,30.06559433,37.32947385,52.96358402,53.92183656,39.52270484,23.95128669,9.21477987,1.333838715,0,2832.264118,2725.728749,4227.511255,5556.071172,4963.672619,3552.34953,2245.220579,554.7529561,0,84.33333333,70.55555556,101.7777778,129.6666667,106.6666667,67.66666667,23,3,0,97.6474215,100.8308817,90.8741949,72.98427542,54.84226661,31.43297777,6.444221538,1.016064,0,249.3857376,290.8860899,265.2062634,211.776784,173.9539586,134.2209546,67.1756095,31.08374443,0,7.691513556,7.769312421,7.690208552,7.702883667,7.695631871,7.607920182,7.083736615,6.718464,0,1.670310796,1.96470915,1.826330483,1.497828793,1.274925962,1.08869485,0.708829221,0.444612905,0,157.3480065,143.4594078,145.7762502,154.3353103,160.1184716,161.4704332,172.7092753,184.917652,0,4.685185185
NCGC00013051-01,0,1968.802108,2004.508228,3003.318722,3057.19166,2605.924381,1762.602555,377.292384,19.305216,0,5103.122993,6381.494679,9370.430811,10809.44949,9432.730785,6749.9666,3182.706582,590.5911442,0,196.167088,199.826848,327.16868,438.71708,563.201764,437.949156,331.87968,127.650816,0,35.39998867,44.99974769,67.33372941,81.73820064,76.35197331,54.80004432,30.58864478,8.447645192,0,4227.693261,3782.469344,6655.836478,8720.581854,12689.29694,9383.883642,7662.382996,3513.435388,0,119.8958333,85.69444444,126.9444444,179.7777778,191.8333333,201.8333333,114,19,0,75.723158,77.09647031,68.25724368,52.71020103,33.84317378,30.92285184,8.574826909,1.016064,0,196.2739613,245.4421031,212.9643366,186.3698188,122.5029972,118.4204667,72.3342405,31.08374443,0,7.544888,7.685648,7.435651818,7.564087586,7.314308623,7.683318526,7.54272,6.718464,0,1.361538026,1.730759527,1.530312032,1.409279321,0.991584069,0.961404286,0.695196472,0.444612905,0,162.603587,145.4795901,151.2690109,150.3548596,164.7960641,164.6295376,174.1450681,184.917652,0,4.611378205
NCGC00013051-05,0,1968.802108,2004.508228,3003.318722,3057.19166,2605.924381,1762.602555,377.292384,19.305216,0,5103.122993,6381.494679,9370.430811,10809.44949,9432.730785,6749.9666,3182.706582,590.5911442,0,196.167088,199.826848,327.16868,438.71708,563.201764,437.949156,331.87968,127.650816,0,35.39998867,44.99974769,67.33372941,81.73820064,76.35197331,54.80004432,30.58864478,8.447645192,0,4227.693261,3782.469344,6655.836478,8720.581854,12689.29694,9383.883642,7662.382996,3513.435388,0,119.8958333,85.69444444,126.9444444,179.7777778,191.8333333,201.8333333,114,19,0,75.723158,77.09647031,68.25724368,52.71020103,33.84317378,30.92285184,8.574826909,1.016064,0,196.2739613,245.4421031,212.9643366,186.3698188,122.5029972,118.4204667,72.3342405,31.08374443,0,7.544888,7.685648,7.435651818,7.564087586,7.314308623,7.683318526,7.54272,6.718464,0,1.361538026,1.730759527,1.530312032,1.409279321,0.991584069,0.961404286,0.695196472,0.444612905,0,162.603587,145.4795901,151.2690109,150.3548596,164.7960641,164.6295376,174.1450681,184.917652,0,4.611378205
NCGC00013058-01,0,3735.868481,4341.652203,5930.074029,6464.798207,6231.360821,6107.32726,5499.565456,4885.141148,4700.415907,11004.6107,13688.33263,19659.85034,23128.91826,23849.56121,23890.93428,21375.19979,17750.735,16397.43815,361.79674,388.91598,648.9461,784.451452,937.66578,966.58952,929.375232,752.336112,671.867084,77.68002262,97.42750775,142.4708745,173.8087738,185.9326163,188.6695445,170.4830118,139.0490138,125.2084573,7961.691616,7472.695128,13410.73869,15937.20418,20010.2631,20751.31011,20355.50871,16245.54986,14383.07276,117.6666667,146.3333333,215.6666667,259.5555556,289.2222222,297.4444444,272.6666667,222.6666667,206.7777778,74.71736962,83.4933116,68.16177045,60.41867483,47.93354478,45.23946119,42.30434966,46.97251104,51.65292205,220.0922139,263.237166,225.9752913,216.1581146,183.4581632,176.9698836,164.4246138,170.6801442,180.191628,7.2359348,7.479153462,7.459150575,7.331321981,7.212813692,7.15992237,7.149040246,7.234001077,7.383154769,1.553600452,1.873605918,1.637596259,1.624381064,1.430250894,1.397552182,1.311407783,1.337009748,1.375917113,159.2338323,143.7056755,154.1464217,148.9458334,153.9251007,153.7134082,156.5808362,156.2072102,158.0557446,2.353333333
NCGC00013058-02,1,3735.868481,4341.652203,5930.074029,6464.798207,6231.360821,6107.32726,5499.565456,4885.141148,4700.415907,11004.6107,13688.33263,19659.85034,23128.91826,23849.56121,23890.93428,21375.19979,17750.735,16397.43815,361.79674,388.91598,648.9461,784.451452,937.66578,966.58952,929.375232,752.336112,671.867084,77.68002262,97.42750775,142.4708745,173.8087738,185.9326163,188.6695445,170.4830118,139.0490138,125.2084573,7961.691616,7472.695128,13410.73869,15937.20418,20010.2631,20751.31011,20355.50871,16245.54986,14383.07276,117.6666667,146.3333333,215.6666667,259.5555556,289.2222222,297.4444444,272.6666667,222.6666667,206.7777778,74.71736962,83.4933116,68.16177045,60.41867483,47.93354478,45.23946119,42.30434966,46.97251104,51.65292205,220.0922139,263.237166,225.9752913,216.1581146,183.4581632,176.9698836,164.4246138,170.6801442,180.191628,7.2359348,7.479153462,7.459150575,7.331321981,7.212813692,7.15992237,7.149040246,7.234001077,7.383154769,1.553600452,1.873605918,1.637596259,1.624381064,1.430250894,1.397552182,1.311407783,1.337009748,1.375917113,159.2338323,143.7056755,154.1464217,148.9458334,153.9251007,153.7134082,156.5808362,156.2072102,158.0557446,2.353333333
NCGC00013067-01,0,3411.731806,4044.748513,6023.116776,6690.950674,5974.278972,5261.43598,4419.63474,3809.094889,2667.036678,9433.682634,12446.08512,19406.70884,22923.75452,21563.45212,19020.90246,16549.25845,14616.78527,11453.88169,324.831,356.098748,648.26336,934.744504,1016.970064,983.425416,815.583184,698.561004,594.919288,65.83378791,87.4326385,140.3113301,173.667476,168.7811429,150.1208306,131.3271918,116.755506,94.70733746,7085.212522,6781.485504,12990.01869,19752.6349,21968.24458,21703.51729,17936.89297,15389.74791,13291.90942,132.4444444,127.25,207.1666667,285.0833333,318.2222222,319.1111111,249.2777778,208.2222222,170.6666667,77.53935923,86.058479,70.03624158,53.10278313,43.29187661,39.55966902,39.81652919,39.67807176,32.52483754,214.401878,264.8103216,225.6594052,181.9345596,156.2568994,143.0143042,149.0924185,152.2581799,139.6814841,7.382522727,7.576569106,7.537946047,7.418607175,7.36934829,7.39417606,7.347596252,7.276677125,7.255113268,1.496222452,1.860268904,1.631527094,1.378313301,1.22305176,1.12872805,1.183127854,1.216203188,1.15496753,161.0275573,144.2869256,151.0467289,156.7669436,159.1901781,163.1843405,161.5936303,160.3098741,162.0964563,3.01010101
