,HOTEL NAME,LOCALITY,REGION,OLD PRICE,PRICE AFTER DISCOUNT,% DISCOUNT,STATUS
0,OYO Premium 529 Jasola Vihar,"Pocket-2, Jasola",Delhi,₹ 2649,₹ 1987,25% OFF,Available
1,OYO Flagship 485 GK2 Savitri Cinema,"E Block,GK2",Delhi,₹ 3149,₹ 2362,25% OFF,Available
2,OYO Flagship 573 Paharganj NDLS,"Arakashan Road, Paharganj",Delhi,₹ 1799,₹ 1349,25% OFF,Available
3,OYO Flagship 513 Delhi Airport,"A Block,Mahipalpur Extension",Delhi,₹ 1999,₹ 1499,25% OFF,Available
4,OYO Premium 055 New Friends Colony Ring Road,CV Raman Marg,Delhi,₹ 3899,₹ 2924,25% OFF,Available
5,OYO Rooms 658 Nehru Place 1,"E Block, East Of Kailash",Delhi,₹ 1799,₹ 1349,25% OFF,Available
6,OYO Premium 210 Lodhi Road,Sunder Nagar,Delhi,₹ 6099,₹ 4574,25% OFF,Available
7,OYO Rooms 632 Kalkaji Mandir,Kalkaji,Delhi,₹ 1799,₹ 1349,25% OFF,Available
8,OYO Rooms 696 NH8 Mahipalpur,"Road 1, Mahipalpur",Delhi,₹ 1664,₹ 1248,25% OFF,Available
9,OYO Premium 241 Patel Nagar Metro Station,East Patel Nagar,Delhi,₹ 4849,₹ 3637,25% OFF,Available
10,OYO Rooms 010 Karol Bagh 1078,"Karol Bagh, New Delhi",Delhi,₹ 1699,₹ 1274,25% OFF,Available
11,OYO Rooms 689 Indira Gandhi International Airport,"Road No 1, Mahipalpur",Delhi,₹ 1664,₹ 1248,25% OFF,Available
12,OYO Homes 459 New Friends Colony 2,"Second Floor (With Elevator), New Friends Colony ",Delhi,₹ 3699,₹ 2774,25% OFF,Available
13,OYO Premium 033 New Friends Colony,CV Raman Marg,Delhi,₹ 3149,₹ 2362,25% OFF,Available
14,OYO Premium 160 Saket Metro Station,Saket,Delhi,₹ 4299,₹ 3224,25% OFF,Available
15,OYO Rooms 030 IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",Delhi,₹ 3799,₹ 2849,25% OFF,Available
