,age,job,marital,education,default,balance,housing,loan,contact,day,month,duration,campaign,pdays,previous,poutcome,deposit
0,59,0,2,secondary,0,2343,1,0,11,5,may,1042,1,-1,0,11,1
1,56,0,2,secondary,0,45,0,0,11,5,may,1467,1,-1,0,11,1
2,41,9,2,secondary,0,1270,1,0,11,5,may,1389,1,-1,0,11,1
3,55,7,2,secondary,0,2476,1,0,11,5,may,579,1,-1,0,11,1
4,54,0,2,tertiary,0,184,0,0,11,5,may,673,2,-1,0,11,1
5,42,4,3,tertiary,0,0,1,1,11,5,may,562,2,-1,0,11,1
6,56,4,2,tertiary,0,830,1,1,11,6,may,1201,1,-1,0,11,1
7,60,5,1,secondary,0,545,1,0,11,6,may,1030,1,-1,0,11,1
8,37,9,2,secondary,0,1,1,0,11,6,may,608,1,-1,0,11,1
9,28,7,3,secondary,0,5090,1,0,11,6,may,1297,3,-1,0,11,1
10,38,0,3,secondary,0,100,1,0,11,7,may,786,1,-1,0,11,1
11,30,1,2,secondary,0,309,1,0,11,7,may,1574,2,-1,0,11,1
12,29,4,2,tertiary,0,199,1,1,11,7,may,1689,4,-1,0,11,1
13,46,1,3,tertiary,0,460,1,0,11,7,may,1102,2,-1,0,11,1
14,31,9,3,tertiary,0,703,1,0,11,8,may,943,2,-1,0,11,1
15,35,4,1,tertiary,0,3837,1,0,11,8,may,1084,1,-1,0,11,1
16,32,1,3,primary,0,611,1,0,11,8,may,541,3,-1,0,11,1
17,49,7,2,secondary,0,-8,1,0,11,8,may,1119,1,-1,0,11,1
18,41,0,2,secondary,0,55,1,0,11,8,may,1120,2,-1,0,11,1
19,49,0,1,secondary,0,168,1,1,11,8,may,513,1,-1,0,11,1
20,28,0,1,secondary,0,785,1,0,11,8,may,442,2,-1,0,11,1
21,43,4,3,tertiary,0,2067,1,0,11,8,may,756,1,-1,0,11,1
22,43,4,1,tertiary,0,388,1,0,11,8,may,2087,2,-1,0,11,1
23,43,1,2,primary,0,-192,1,0,11,8,may,1120,2,-1,0,11,1
24,37,10,3,secondary,0,381,1,0,11,8,may,985,2,-1,0,11,1
25,35,1,3,secondary,0,40,1,0,11,9,may,617,4,-1,0,11,1
26,31,9,3,tertiary,0,22,1,0,11,9,may,483,3,-1,0,11,1
27,43,1,3,secondary,0,3,1,0,11,9,may,929,3,-1,0,11,1
28,31,0,2,secondary,0,307,1,0,11,9,may,538,1,-1,0,11,1
29,28,1,3,secondary,0,759,1,0,11,9,may,710,1,-1,0,11,1
30,32,1,2,secondary,1,-1,1,0,11,9,may,653,1,-1,0,11,1
31,60,9,2,primary,0,65,1,0,11,9,may,1028,2,-1,0,11,1
32,26,1,3,secondary,0,82,1,0,11,9,may,654,1,-1,0,11,1
33,40,1,2,secondary,0,10,1,0,11,9,may,1692,2,-1,0,11,1
34,33,1,1,primary,0,390,1,0,11,9,may,665,2,-1,0,11,1
35,32,4,3,tertiary,0,311,0,0,11,12,may,757,2,-1,0,11,1
36,35,1,2,primary,0,414,0,0,11,13,may,504,4,-1,0,11,1
37,33,4,1,secondary,0,5,1,0,11,13,may,1346,1,-1,0,11,1
38,38,4,2,tertiary,0,119,1,0,11,13,may,568,4,-1,0,11,1
39,23,2,3,primary,0,4,1,0,11,13,may,395,2,-1,0,11,1
40,60,1,2,primary,0,1262,1,1,11,13,may,1015,1,-1,0,11,1
41,48,4,2,tertiary,0,1949,1,0,11,13,may,683,2,-1,0,11,1
42,45,2,1,tertiary,0,-395,1,0,11,13,may,470,1,-1,0,11,1
43,36,1,2,secondary,0,1165,1,0,11,13,may,1001,4,-1,0,11,1
44,52,4,2,11,0,2240,1,0,11,13,may,845,1,-1,0,11,1
45,35,1,1,primary,0,300,1,0,11,13,may,945,2,-1,0,11,1
46,43,9,2,secondary,0,3285,1,0,11,13,may,1721,2,-1,0,11,1
47,52,3,2,secondary,0,3923,1,0,11,14,may,942,3,-1,0,11,1
48,53,9,1,primary,0,1443,1,0,11,14,may,476,1,-1,0,11,1
49,48,1,1,primary,0,24,1,0,11,14,may,832,1,-1,0,11,1
50,41,1,3,primary,0,1618,1,0,11,14,may,1553,1,-1,0,11,1
