,Unnamed: 0,HOTEL NAME,LOCALITY,REGION,OLD PRICE,PRICE AFTER DISCOUNT,% DISCOUNT,STATUS
0,0,OYO Premium 529 Jasola Vihar,"Pocket-2, Jasola",Delhi, 2649, 1987,25,1
1,1,OYO Flagship 485 GK2 Savitri Cinema,"E Block,GK2",Delhi, 3149, 2362,25,1
2,2,OYO Flagship 573 Paharganj NDLS,"Arakashan Road, Paharganj",Delhi, 1799, 1349,25,1
3,3,OYO Flagship 513 Delhi Airport,"A Block,Mahipalpur Extension",Delhi, 1999, 1499,25,1
4,4,OYO Premium 055 New Friends Colony Ring Road,CV Raman Marg,Delhi, 3899, 2924,25,1
5,5,OYO Rooms 658 Nehru Place 1,"E Block, East Of Kailash",Delhi, 1799, 1349,25,1
6,6,OYO Premium 210 Lodhi Road,Sunder Nagar,Delhi, 6099, 4574,25,1
7,7,OYO Rooms 632 Kalkaji Mandir,Kalkaji,Delhi, 1799, 1349,25,1
8,8,OYO Rooms 696 NH8 Mahipalpur,"Road 1, Mahipalpur",Delhi, 1664, 1248,25,1
9,9,OYO Premium 241 Patel Nagar Metro Station,East Patel Nagar,Delhi, 4849, 3637,25,1
10,10,OYO Rooms 010 Karol Bagh 1078,"Karol Bagh, New Delhi",Delhi, 1699, 1274,25,1
11,11,OYO Rooms 689 Indira Gandhi International Airport,"Road No 1, Mahipalpur",Delhi, 1664, 1248,25,1
12,12,OYO Homes 459 New Friends Colony 2,"Second Floor (With Elevator), New Friends Colony ",Delhi, 3699, 2774,25,1
13,13,OYO Premium 033 New Friends Colony,CV Raman Marg,Delhi, 3149, 2362,25,1
14,14,OYO Premium 160 Saket Metro Station,Saket,Delhi, 4299, 3224,25,1
15,15,OYO Rooms 030 IGI Airport Aerocity,"National Highway No. 8, Mahipalpur",Delhi, 3799, 2849,25,1
16,16,OYO Rooms 142 Connaught Place 1,Connaught Circus,Delhi, 4649, 3487,25,1
17,17,OYO Rooms 257 Rajendra Place PUSA Circle,East Patel Nagar,Delhi, 2499, 1874,25,1
18,18,OYO Rooms 171 IGI Airport NH8,"National Highway 8, Near IGI Domestic Airport, Mahipalpur",Delhi, 3749, 2812,25,1
19,19,OYO Rooms 080 Executive IGI Airport,"Mahipalpur Extn, Near Airport, National Highway -8",Delhi, 3249, 2437,25,1
20,20,OYO Premium 182 Siri Fort Sports Complex,Anand Lok,Delhi, 4749, 3562,25,1
21,21,OYO Rooms 118 Vasant Vihar,Vasant vihar,Delhi, 3549, 2662,25,1
22,22,OYO Rooms 457 Azadpur Mandi Extension,Adarsh Nagar,Delhi, 2499, 1874,25,1
23,23,OYO Rooms 183 Opp IGI Airport Main Road,"N.H. 8, Near IGI Airport Road No. 1, Mahipalpur Extension , Mahipalpur",Delhi, 3449, 2587,25,1
24,24,OYO Premium 207 Greater Kailash 1,Greater Kailash 1,Delhi, 4799, 3599,25,1
25,25,OYO Homes 380 GTB Nagar,Kingsaway,Delhi, 2499, 1874,25,1
26,26,OYO Rooms 680 Jasola Pocket 1,Jasola Vihar,Delhi, 3499, 2624,25,1
27,27,OYO Premium 292 Lajpat Nagar Main Road,Lajpat Nagar 4,Delhi, 4299, 3224,25,1
28,28,OYO Rooms 144 CR Park,Outer Ring Road,Delhi, 2899, 2174,25,1
29,29,OYO Rooms 098 South Delhi,"Opposite Karnataka Bank, Kalkaji",Delhi, 2149, 1612,25,1
30,30,OYO Apartments 273 Dwarka Sector 12,Dwarka,Delhi, 2199, 1649,25,1
31,31,OYO Rooms 616 NDLS Gate Number 2,Desh Bandhu Gupta Road,Delhi, 1849, 1387,25,1
32,32,OYO Rooms 195 Patel Nagar Metro Station,East Patel Nagar,Delhi, 2549, 1912,25,1
